PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001_01,Europa,FALSE,B/0/P,TRAPPIST-1e,39,FALSE,0,0,0,0,0,Maham Ofracculy,FALSE
0002_01,Earth,FALSE,F/0/S,TRAPPIST-1e,24,FALSE,109,9,25,549,44,Juanna Vines,TRUE
0003_01,Europa,FALSE,A/0/S,TRAPPIST-1e,58,TRUE,43,3576,0,6715,49,Altark Susent,FALSE
0003_02,Europa,FALSE,A/0/S,TRAPPIST-1e,33,FALSE,0,1283,371,3329,193,Solam Susent,FALSE
0004_01,Earth,FALSE,F/1/S,TRAPPIST-1e,16,FALSE,303,70,151,565,2,Willy Santantines,TRUE
0005_01,Earth,FALSE,F/0/P,PSO J318.5-22,44,FALSE,0,483,0,291,0,Sandie Hinetthews,TRUE
0006_01,Earth,FALSE,F/2/S,TRAPPIST-1e,26,FALSE,42,1539,3,0,0,Billex Jacostaffey,TRUE
0006_02,Earth,TRUE,G/0/S,TRAPPIST-1e,28,FALSE,0,0,0,0,,Candra Jacostaffey,TRUE
0007_01,Earth,FALSE,F/3/S,TRAPPIST-1e,35,FALSE,0,785,17,216,0,Andona Beston,TRUE
0008_01,Europa,TRUE,B/1/P,55 Cancri e,14,FALSE,0,0,0,0,0,Erraiam Flatic,TRUE
0008_02,Europa,TRUE,B/1/P,TRAPPIST-1e,34,FALSE,0,0,,0,0,Altardr Flatic,TRUE
0008_03,Europa,FALSE,B/1/P,55 Cancri e,45,FALSE,39,7295,589,110,124,Wezena Flatic,TRUE
0009_01,Mars,FALSE,F/1/P,TRAPPIST-1e,32,FALSE,73,0,1123,0,113,Berers Barne,TRUE
0010_01,Earth,FALSE,G/1/S,TRAPPIST-1e,48,FALSE,719,1,65,0,24,Reney Baketton,FALSE
0011_01,Earth,FALSE,F/2/P,TRAPPIST-1e,28,FALSE,8,974,12,2,7,Elle Bertsontry,TRUE
0012_01,Earth,FALSE,,TRAPPIST-1e,31,FALSE,32,0,876,0,0,Justie Pooles,FALSE
0014_01,Mars,FALSE,F/3/P,55 Cancri e,27,FALSE,1286,122,,0,0,Flats Eccle,FALSE
0015_01,Earth,FALSE,F/4/P,55 Cancri e,24,FALSE,0,1,0,0,637,Carry Hughriend,FALSE
0016_01,Mars,TRUE,F/5/P,TRAPPIST-1e,45,FALSE,0,0,0,0,0,Alus Upead,TRUE
0017_01,Earth,FALSE,G/0/P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Lyde Brighttt,TRUE
0017_02,Earth,FALSE,F/6/P,55 Cancri e,14,FALSE,412,0,1,0,679,Philda Brighttt,FALSE
0020_01,Earth,TRUE,E/0/S,TRAPPIST-1e,1,FALSE,0,0,0,0,0,Almary Brantuarez,FALSE
0020_02,Earth,TRUE,E/0/S,55 Cancri e,49,FALSE,0,0,0,0,0,Glendy Brantuarez,FALSE
0020_03,Earth,TRUE,E/0/S,55 Cancri e,29,FALSE,0,0,,0,0,Mollen Mcfaddennon,FALSE
0020_04,Earth,FALSE,E/0/S,TRAPPIST-1e,10,FALSE,0,0,0,0,0,Breney Jacostanley,TRUE
0020_05,Earth,TRUE,E/0/S,PSO J318.5-22,1,FALSE,,0,0,0,0,Mael Brantuarez,FALSE
0020_06,Earth,FALSE,E/0/S,TRAPPIST-1e,7,FALSE,0,0,0,0,0,Terta Mcfaddennon,FALSE
0022_01,Mars,FALSE,D/0/P,TRAPPIST-1e,21,FALSE,980,2,69,0,0,,FALSE
0024_01,Europa,TRUE,C/2/S,TRAPPIST-1e,62,FALSE,0,0,,0,0,Penton Fullided,TRUE
0025_01,Earth,FALSE,F/6/S,TRAPPIST-1e,15,FALSE,0,225,0,998,0,Karard Brookenson,FALSE
0026_01,Europa,FALSE,C/0/P,55 Cancri e,34,FALSE,22,6073,0,1438,328,Anyoni Unconary,FALSE
0028_01,Mars,FALSE,F/8/P,TRAPPIST-1e,43,FALSE,1125,0,136,48,0,Ceros Mare,FALSE
0030_01,Earth,FALSE,G/4/S,TRAPPIST-1e,32,FALSE,0,850,81,437,453,Ginia Morsentley,FALSE
0031_01,Mars,FALSE,F/9/P,TRAPPIST-1e,47,FALSE,214,0,1411,0,1229,Coobix Datie,TRUE
0031_02,Mars,FALSE,F/9/P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Cinets Datie,TRUE
0031_03,Mars,FALSE,F/9/P,TRAPPIST-1e,20,FALSE,,0,1750,990,0,Dontch Datie,TRUE
0034_01,Europa,TRUE,D/1/S,55 Cancri e,28,FALSE,0,0,0,0,0,Ziba Oingwhedly,TRUE
0035_01,Mars,FALSE,D/1/P,55 Cancri e,23,FALSE,784,964,0,951,0,Luse Butte,FALSE
0036_01,Earth,FALSE,F/8/S,55 Cancri e,15,,0,492,48,20,401,Marina Leodger,FALSE
0038_01,Earth,FALSE,F/10/S,55 Cancri e,20,FALSE,554,195,0,2606,0,Loise Wheelez,FALSE
0039_01,Earth,TRUE,G/1/P,55 Cancri e,30,FALSE,0,0,,0,0,Jorgie Batthewitt,FALSE
0041_01,Earth,TRUE,G/2/P,TRAPPIST-1e,17,FALSE,0,0,0,0,0,Margia Moodsey,TRUE
0043_01,Europa,FALSE,B/3/P,TRAPPIST-1e,45,FALSE,0,164,45,2511,855,Ankalik Cylistrand,FALSE
0044_01,Earth,TRUE,G/3/P,TRAPPIST-1e,55,FALSE,0,0,0,0,0,Jodye Coopelandez,FALSE
0044_02,Earth,TRUE,G/3/P,55 Cancri e,4,FALSE,0,0,0,0,0,Kayne Coopelandez,TRUE
0044_03,Earth,TRUE,G/3/P,PSO J318.5-22,21,FALSE,0,0,0,0,0,Cassa Coopelandez,TRUE
0045_01,Mars,FALSE,F/10/P,TRAPPIST-1e,21,FALSE,970,0,180,0,64,Zelowl Chmad,FALSE
0045_02,Mars,TRUE,F/10/P,,19,FALSE,0,0,0,0,0,Mass Chmad,TRUE
0050_01,Earth,FALSE,E/1/S,55 Cancri e,35,FALSE,790,0,0,,0,Sony Lancis,FALSE
0051_01,Earth,FALSE,E/2/S,TRAPPIST-1e,56,FALSE,0,112,0,1379,127,Vivia Johnshines,FALSE
0052_01,Earth,FALSE,G/6/S,TRAPPIST-1e,,FALSE,4,0,2,4683,0,Elaney Hubbarton,FALSE
0053_01,Earth,FALSE,F/11/S,TRAPPIST-1e,25,FALSE,0,0,1938,0,1,Elson Hickerson,TRUE
0056_01,Europa,FALSE,A/1/S,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Okulas Tractive,TRUE
0056_02,Europa,TRUE,A/1/S,TRAPPIST-1e,38,FALSE,0,0,0,0,0,Instab Tractive,TRUE
0056_03,Europa,FALSE,A/1/S,TRAPPIST-1e,27,FALSE,279,605,3374,286,3,Zinoces Tractive,TRUE
0058_01,Earth,TRUE,G/7/S,PSO J318.5-22,36,FALSE,0,0,0,0,0,Warry Ayalazquez,FALSE
0061_01,Earth,FALSE,F/12/S,TRAPPIST-1e,22,,45,1096,148,1377,1,Shanya Salez,FALSE
0062_01,Earth,FALSE,F/13/S,TRAPPIST-1e,62,FALSE,0,592,0,17,25,,FALSE
0064_01,Mars,TRUE,F/14/S,TRAPPIST-1e,15,FALSE,0,0,0,0,0,,TRUE
0064_02,,TRUE,E/3/S,TRAPPIST-1e,33,FALSE,0,0,,0,0,Colatz Keen,TRUE
0066_01,Earth,FALSE,G/6/P,TRAPPIST-1e,62,,1,153,197,0,460,,FALSE
0067_01,Earth,TRUE,G/10/S,PSO J318.5-22,0,,0,0,0,0,0,Ninaha Leeves,TRUE
0067_02,Earth,FALSE,G/10/S,TRAPPIST-1e,18,FALSE,1,258,446,0,0,Celine Leeves,TRUE
0067_03,Earth,FALSE,F/15/S,55 Cancri e,21,FALSE,1946,37,0,0,24,Velyne Leeves,FALSE
0068_01,Mars,FALSE,E/4/S,TRAPPIST-1e,,FALSE,793,0,2,253,0,Cinst Binie,FALSE
0069_01,Earth,FALSE,F/16/S,TRAPPIST-1e,42,FALSE,887,0,9,6,0,,
0070_01,Earth,FALSE,F/13/P,TRAPPIST-1e,19,FALSE,190,0,5,1,726,Meremy Brighttt,FALSE
0071_01,Earth,FALSE,F/14/P,TRAPPIST-1e,17,FALSE,16,2165,0,0,52,Nelly Dillines,FALSE
0072_01,Earth,FALSE,F/17/S,TRAPPIST-1e,14,FALSE,0,1,0,0,1063,Thell Brantuarez,FALSE
0073_01,Mars,FALSE,D/3/P,PSO J318.5-22,37,FALSE,46,83,738,0,12,Gorn Make,FALSE
0074_01,Europa,FALSE,C/3/S,TRAPPIST-1e,42,FALSE,1,8397,0,0,506,Aldibah Mostedry,TRUE
0076_01,Mars,FALSE,F/18/S,TRAPPIST-1e,27,FALSE,147,0,,0,0,,TRUE
0077_01,Mars,FALSE,F/15/P,TRAPPIST-1e,28,FALSE,14,0,1295,0,0,Pon Blité,TRUE
0078_01,Europa,FALSE,C/4/S,TRAPPIST-1e,38,FALSE,0,5840,0,321,9654,Spuri Pokerheed,FALSE
0081_01,Earth,TRUE,G/13/S,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Dellie Vinozarks,FALSE
0082_01,Mars,FALSE,F/16/P,TRAPPIST-1e,42,FALSE,7406,0,0,0,0,Totse Datte,FALSE
0082_02,Mars,TRUE,F/16/P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Eaturs Datte,TRUE
0082_03,Mars,FALSE,F/16/P,TRAPPIST-1e,8,FALSE,0,0,0,0,0,,TRUE
0084_01,Earth,FALSE,G/14/S,TRAPPIST-1e,24,FALSE,688,0,0,0,17,Coren Coopezmaney,TRUE
0085_01,Europa,TRUE,C/5/S,TRAPPIST-1e,40,FALSE,0,0,0,0,0,Furudah Ellcefulve,TRUE
0086_01,Earth,FALSE,F/17/P,TRAPPIST-1e,43,FALSE,211,0,0,638,513,Jodye Kinson,FALSE
0088_01,Mars,TRUE,E/5/S,PSO J318.5-22,45,FALSE,0,0,0,0,0,Stmeal Sacre,TRUE
0090_01,Earth,TRUE,G/15/S,TRAPPIST-1e,35,FALSE,0,0,0,0,0,Heremy Santry,TRUE
0091_01,Earth,TRUE,G/16/S,TRAPPIST-1e,26,FALSE,,0,0,0,0,,TRUE
0091_02,Earth,FALSE,F/20/S,TRAPPIST-1e,27,FALSE,1,697,31,188,0,Tinez Yorkland,FALSE
0092_01,Earth,FALSE,G/9/P,TRAPPIST-1e,19,FALSE,0,0,670,1,34,Gracy Dunnisey,FALSE
0092_02,Earth,TRUE,G/9/P,TRAPPIST-1e,0,FALSE,0,0,,0,0,Stald Hewson,TRUE
0092_03,Earth,TRUE,G/9/P,TRAPPIST-1e,3,FALSE,0,0,0,0,0,Tiney Hewson,TRUE
0097_01,Europa,FALSE,A/2/S,TRAPPIST-1e,54,FALSE,0,1208,0,3,637,Alchium Fictful,FALSE
0098_01,Earth,FALSE,G/11/P,TRAPPIST-1e,26,FALSE,0,856,5,32,0,Doria Carezquez,FALSE
0098_02,Earth,FALSE,G/11/P,TRAPPIST-1e,26,FALSE,0,2811,957,0,87,Leence Carezquez,TRUE
0099_01,Earth,FALSE,F/19/P,PSO J318.5-22,23,FALSE,311,427,526,37,0,Aliey Leetersoney,FALSE
